#Timemin,   Data,   Theory,   NormData
1,   0.304170000,   0.998234092,   1.000000000
5,   0.301736640,   0.987095666,   0.992000000
10,   0.301348272,   0.973846314,   0.990723186
15,   0.280173557,   0.961307970,   0.921108450
20,   0.283616894,   0.949442479,   0.932428885
25,   0.284953088,   0.938213733,   0.936821805
30,   0.281693595,   0.927587562,   0.926105781
35,   0.275818185,   0.917531631,   0.906789574
40,   0.275205650,   0.908015337,   0.904775782
45,   0.272254036,   0.899009722,   0.895071952
50,   0.264814640,   0.890487380,   0.870613932
55,   0.260782931,   0.882422379,   0.857359145
60,   0.274711625,   0.874790175,   0.903151610
65,   0.258040503,   0.867567542,   0.848343041
70,   0.254902307,   0.860732502,   0.838025798
75,   0.259371482,   0.854264256,   0.852718814
80,   0.260498684,   0.848143119,   0.856424643
85,   0.247805182,   0.842350464,   0.814693040
90,   0.254516841,   0.836868664,   0.836758527
95,   0.252999465,   0.831681037,   0.831769948
100,   0.249014831,   0.826771797,   0.818669925
105,   0.254297112,   0.822126005,   0.836036139
110,   0.252894932,   0.817729523,   0.831426000
